timestamp,long,lat,POSI_X,POSI_Y,ACCE_X,ACCE_Y,ACCE_Z,ACCE_MOD,GYRO_X,GYRO_Y,GYRO_Z,GYRO_MOD,MAGN_X,MAGN_Y,MAGN_Z,MAGN_MOD
126.2622000000,,,0.0,0.0,,,,,,,,,-37.7868700000,-20.6100500000,-34.2956500000,55.0346555756
126.2659000000,,,0.0,0.0,-0.1337300000,3.3777000000,10.5929600000,11.1192419960,,,,,,,,
126.2719000000,,,0.0,0.0,,,,,,,,,-37.3367300000,-19.7097800000,-34.4467200000,54.4892957699
126.2721000000,,,0.0,0.0,,,,,0.3805200000,1.0242000000,-0.0188400000,1.0927653252,,,,
126.2761000000,,,0.0,0.0,-0.0380100000,3.4793900000,10.7592600000,11.3079297522,,,,,,,,
126.2826000000,,,0.0,0.0,,,,,0.1948500000,0.9474300000,-0.1526000000,0.9792225934,,,,
126.2829000000,,,0.0,0.0,,,,,,,,,-37.7868700000,-20.6100500000,-35.7955900000,55.9816574321
126.2866000000,,,0.0,0.0,0.1354700000,3.5176700000,10.7425100000,11.3045953245,,,,,,,,
126.2919000000,,,0.0,0.0,,,,,,,,,-37.9379300000,-20.4605100000,-33.3969100000,54.5277232212
126.2923000000,,,0.0,0.0,,,,,0.0342900000,0.8218700000,-0.2642500000,0.8639873630,,,,
126.2971000000,,,0.0,0.0,0.2814300000,3.5057100000,10.5989400000,11.1672169574,,,,,,,,
126.3023000000,,,0.0,0.0,,,,,,,,,-38.5376000000,-21.5103100000,-35.4965200000,56.6378228940
126.3031000000,,,0.0,0.0,,,,,-0.0941800000,0.6388100000,-0.3589500000,0.7387781744,,,,
126.3075000000,,,0.0,0.0,0.4429500000,3.5284400000,10.4553700000,11.0435888810,,,,,,,,
126.3128000000,,,0.0,0.0,,,,,-0.2002300000,0.4458500000,-0.4127500000,0.6397162167,,,,
126.3145000000,,,0.0,0.0,,,,,,,,,-39.1372700000,-20.0103800000,-33.8455200000,55.4766656791
